spec	Fold_0
nist_1035166	train
nist_1035180	train
nist_1035201	train
nist_1035208	train
nist_1035213	train
nist_1035214	train
nist_1035227	train
nist_1035232	train
nist_1035238	test
nist_1035262	train
nist_1035277	train
nist_1035284	train
nist_1035285	train
nist_1035288	train
nist_1035302	train
nist_1035311	train
nist_1035316	train
nist_1035318	train
nist_1035325	train
nist_1035330	train
nist_1035335	train
nist_1035357	train
nist_1035372	train
nist_1035386	train
nist_1035397	train
nist_1035407	train
nist_1035416	train
nist_1035449	train
nist_1035464	train
nist_1035477	train
nist_1035492	train
nist_1035503	test
nist_1035514	test
nist_1035524	test
nist_1035536	test
nist_1035549	train
nist_1035561	train
nist_1035568	train
nist_1035578	train
nist_1035592	train
nist_1035606	train
nist_1035626	train
nist_1035633	train
nist_1035647	train
nist_1035658	train
nist_1035667	train
nist_1035697	train
nist_1035704	train
nist_1035723	train
nist_1035730	train
nist_1035734	train
nist_1035745	train
nist_1035747	train
nist_1035748	train
nist_1035768	train
nist_1035778	train
nist_1035779	train
nist_1035808	train
nist_1035814	train
nist_1054509	train
nist_1054524	train
nist_1054536	train
nist_1054551	train
nist_1054563	train
nist_1054579	train
nist_1054597	train
nist_1054613	train
nist_1054630	train
nist_1054645	train
nist_1054660	train
nist_1054676	train
nist_1054685	train
nist_1054701	train
nist_1054717	train
nist_1054734	train
nist_1054749	train
nist_1054750	train
nist_1054765	train
nist_1054781	train
nist_1054797	train
nist_1054813	train
nist_1054824	train
nist_1054832	train
nist_1054863	train
nist_1054879	train
nist_1054881	train
nist_1054889	train
nist_1054905	train
nist_1054918	train
nist_1054934	train
nist_1054954	train
nist_1054969	train
nist_1054984	train
nist_1054985	train
nist_1055001	train
nist_1055018	train
nist_1055037	train
nist_1055038	train
nist_1055054	train
nist_1055069	train
nist_1055089	train
nist_1055104	train
nist_1055119	train
nist_1055129	train
nist_1055159	train
nist_1055175	train
nist_1055207	train
nist_1055224	train
nist_1055226	train
nist_1055241	train
nist_1055258	train
nist_1055272	train
nist_1055285	train
nist_1055295	train
nist_1055326	train
nist_1055331	train
nist_1055335	train
nist_1055351	train
nist_1055355	train
nist_1055370	train
nist_1055383	train
nist_1055409	train
nist_1055424	train
nist_1055434	train
nist_1055456	train
nist_1055471	train
nist_1055487	train
nist_1055502	train
nist_1055517	train
nist_1055528	train
nist_1055539	train
nist_1055555	train
nist_1055571	train
nist_1055587	train
nist_1055634	train
nist_1055659	train
nist_1055675	train
nist_1055690	train
nist_1055706	train
nist_1055721	train
nist_1055752	train
nist_1055762	train
nist_1055778	train
nist_1055793	train
nist_1055839	train
nist_1055891	train
nist_1055906	train
nist_1055921	train
nist_1055922	train
nist_1055936	train
nist_1055996	train
nist_1056044	train
nist_1056049	train
nist_1056050	train
nist_1056052	train
nist_1056054	train
nist_1056070	train
nist_1056086	train
nist_1056101	train
nist_1056113	train
nist_1056123	train
nist_1056135	train
nist_1056150	train
nist_1056175	train
nist_1056181	train
nist_1056197	train
nist_1056254	train
nist_1056279	train
nist_1056303	train
nist_1056329	train
nist_1056352	train
nist_1056376	train
nist_1056390	train
nist_1056406	train
nist_1056408	train
nist_1056423	train
nist_1056430	train
nist_1056446	val
nist_1056462	train
nist_1056477	train
nist_1056496	train
nist_1056508	train
nist_1056524	train
nist_1056528	train
nist_1056544	train
nist_1056563	train
nist_1056593	train
nist_1056607	train
nist_1056623	train
nist_1056629	train
nist_1056645	train
nist_1056659	train
nist_1056674	train
nist_1056690	train
nist_1056718	train
nist_1056734	train
nist_1056743	train
nist_1056744	train
nist_1056764	train
nist_1056771	train
nist_1056796	train
nist_1056799	train
nist_1056869	train
nist_1056901	train
nist_1056925	train
nist_1056926	train
nist_1056935	train
nist_1056942	train
nist_1056961	train
nist_1056964	train
nist_1056966	train
nist_1056967	train
nist_1056968	train
nist_1056970	train
nist_1056991	train
nist_1057000	train
nist_1057014	train
nist_1057022	val
nist_1057030	val
nist_1057038	val
nist_1057046	val
nist_1057050	train
nist_1057057	train
nist_1057080	train
nist_1057094	train
nist_1057119	train
nist_1057147	train
nist_1057158	train
nist_1057182	train
nist_1057195	train
nist_1057208	train
nist_1057223	train
nist_1057275	train
nist_1057298	train
nist_1057326	train
nist_1057339	train
nist_1057355	train
nist_1057369	train
nist_1057383	train
nist_1057406	train
